Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,0.172300,0.196500,0.172300,0.176150,0.176150,49019
2019-10-01,0.182760,0.196500,0.180000,0.195000,0.195000,127217
2019-10-02,0.175050,0.224400,0.175050,0.200000,0.200000,286869
2019-10-03,0.190050,0.221900,0.190050,0.203200,0.203200,22990
2019-10-04,0.200100,0.206900,0.186600,0.187690,0.187690,238807
2019-10-07,0.200000,0.218310,0.200000,0.200000,0.200000,22523
2019-10-08,0.214000,0.214000,0.191100,0.211200,0.211200,44946
2019-10-09,0.214000,0.214000,0.190000,0.198000,0.198000,37760
2019-10-10,0.194750,0.205000,0.187500,0.200000,0.200000,39401
2019-10-11,0.199900,0.217500,0.191000,0.217500,0.217500,62247
2019-10-14,0.217500,0.217500,0.212080,0.216100,0.216100,59881
2019-10-15,0.215000,0.224200,0.215000,0.224200,0.224200,24020
2019-10-16,0.224200,0.224200,0.216680,0.218960,0.218960,16528
2019-10-17,0.220000,0.220000,0.210000,0.220000,0.220000,78555
2019-10-18,0.224400,0.224400,0.210000,0.224400,0.224400,30548
2019-10-21,0.224700,0.224700,0.210000,0.217430,0.217430,8936
2019-10-22,0.219900,0.260000,0.190000,0.249900,0.249900,384107
2019-10-23,0.257500,0.257500,0.235000,0.244510,0.244510,9360
2019-10-24,0.235670,0.243400,0.235670,0.243400,0.243400,19380
2019-10-25,0.237350,0.249400,0.220300,0.240290,0.240290,146105
2019-10-28,0.249400,0.249400,0.247400,0.247400,0.247400,6376
2019-10-29,0.240000,0.260000,0.240000,0.255000,0.255000,134489
2019-10-30,0.250000,0.324400,0.250000,0.297400,0.297400,570391
2019-10-31,0.303400,0.337400,0.265000,0.290000,0.290000,298349
2019-11-01,0.300000,0.324400,0.270000,0.299900,0.299900,466118
2019-11-04,0.327500,0.350000,0.290000,0.294000,0.294000,389928
2019-11-05,0.329500,0.329900,0.279210,0.279210,0.279210,148472
2019-11-06,0.290000,0.324700,0.285100,0.310000,0.310000,132939
2019-11-07,0.325000,0.345000,0.300000,0.314000,0.314000,33412
2019-11-08,0.319200,0.340000,0.315000,0.339800,0.339800,114732
2019-11-11,0.350000,0.380000,0.335000,0.360000,0.360000,195529
2019-11-12,0.360000,0.380000,0.330300,0.330300,0.330300,237318
2019-11-13,0.370000,0.370000,0.345000,0.367400,0.367400,51400
2019-11-14,0.380000,0.400000,0.340000,0.351000,0.351000,132440
2019-11-15,0.351000,0.380000,0.315000,0.333010,0.333010,61947
2019-11-18,0.320000,0.349000,0.295000,0.298460,0.298460,113093
2019-11-19,0.339900,0.339900,0.243000,0.250000,0.250000,146222
